 -408738.6987,-2475431.9083,     235.0620
  906333.5715, -977189.3497,     229.2220
  209806.9967,-1756451.8901,     229.4365
 1111304.2502,-1231150.6025,     229.2720
-2781212.7116,-2274863.8236,     251.5343
-1238624.7628,-1280555.0433,     235.1762
-2014051.5772,-1624381.9833,     237.4014
  734104.3537, -781547.9906,     230.8703
-2267534.2324,-2859193.3686,     236.5040
-1205829.9955, -764778.8485,     237.7937
  391451.1852,-2448328.4115,     234.5896
  -61605.2829,-1820212.7754,     232.1448
-2387124.9615,-1879465.0433,     243.2910
-1043502.9636,-1910795.9363,     238.5088
  424270.6369, -712520.4866,     231.0632
 -379637.9701,-1633414.2318,     232.5242
-2026469.6672,-1973238.1548,     242.2113
-2533413.6939, -854383.7744,     243.9441
  963544.2571, -498054.2332,     236.9639
-1067213.5545,-2946411.7742,     220.2880
 -463826.2246,-2879387.8826,     221.5614
-3154539.8312,-1352628.3298,     240.0115
 -572167.4084,-3268566.3578,     220.0072
  274746.8050,-3189229.7266,     220.3072
-2922685.2979,-3051311.5470,     225.8686
  717865.8747,-2975290.9974,     224.5296
 -119205.8535,-2720229.5787,     224.9283
 -255440.0655,-2464056.9302,     233.9366
 -244188.0535,-3528864.2758,     219.2904
  535309.2404, -884900.7159,     229.3683
  599944.4128,-1699703.9768,     227.4355
-2330198.7882, -985672.3037,     245.8179
-3528008.0917,-3113324.1520,     230.1093
-3559538.6657,-1122543.8169,     251.6041
 -704498.9239,-1357982.7967,     232.3164
  482950.9428,-3077109.7403,     223.1518
-1413547.2010,-1982595.7181,     241.3813
-2420311.7200,-3440402.6619,     226.7561
-1418834.9641,-3026542.8974,     221.2860
  237385.2258,-2131341.9099,     232.5769
  670827.5103,-1331628.9630,     227.5763
 -104355.4614,-1427869.0907,     231.2950
  290158.1195,-1709278.4686,     228.2100
-1045984.0123, -675203.9648,     238.8618
-1729792.8091,-1383340.2991,     237.7022
  409770.7567,-2429268.2773,     235.0790
-1891239.1340,-1831213.0755,     238.9895
-2488759.8556, -645043.2686,     243.0406
  759238.6687,-3121694.4574,     223.4434
-3350518.7589, -445450.9455,     249.7320
